记录编号,建筑面积,朝向,楼层,装修,电梯,建筑结构,建筑类别,区域,学校,总价,单价,房龄,室,厅,卫
SH90179,67.17平米,东西,低层,中装修,无 ,平层,板楼,安宁,附件无学校,70.0万,10421.0,18.0,2,1,1
SH90180,156.92平米,南北,中层,精装修,有 ,平层,板楼,城关,附件有学校,261.8万,16684.0,8.0,3,2,2
SH90181,94平米,南北,中层,精装修,有 ,平层,板楼,榆中,附件无学校,62.0万,6596.0,2.0,3,2,1
SH90182,98平米,南北,低层,精装修,有 ,平层,板楼,城关,附件无学校,129.0万,13163.0,9.0,2,2,1
SH90183,135.1平米,南北,低层,精装修,有 ,平层,板楼,城关,附件有学校,180.0万,13323.0,13.0,3,2,1
SH90184,96.1平米,东,低层,精装修,有 ,平层,板楼,城关,附件有学校,126.0万,13111.0,20.0,2,2,1
SH90185,108.7平米,南北,高层,简装修,有 ,平层,板楼,城关,附件有学校,98.0万,9016.0,18.0,3,2,1
SH90187,96.14平米,南,低层,毛坯,有 ,平层,板楼,西固,附件无学校,117.0万,12170.0,6.0,2,2,1
SH90191,85.4平米,东西,中层,简装修,无 ,平层,钢混,安宁,附件有学校,93.0万,10890.0,20.0,2,2,1
SH90194,100平米,南北,低层,精装修,有 ,平层,板楼,城关,附件无学校,112.0万,11200.0,7.0,3,2,2
SH90195,143.43平米,东北,高层,简装修,有 ,平层,板楼,城关,附件有学校,236.0万,16454.0,14.0,3,2,2
SH90196,164平米,南北,中层,毛坯,有 ,平层,板楼,城关,附件无学校,181.0万,11037.0,7.0,3,2,2
SH90197,58平米,南,低层,简装修,无 ,平层,板楼,城关,附件无学校,63.0万,10862.0,22.0,2,0,1
SH90198,82.26平米,南北,高层,中装修,无 ,平层,钢混,七里河,附件有学校,93.0万,11306.0,20.0,2,2,1
SH90199,103平米,南北,中层,精装修,无 ,平层,板楼,城关,附件有学校,135.0万,13107.0,17.0,2,2,1
SH90200,123.53平米,东北,中层,精装修,有 ,平层,板楼,城关,附件有学校,195.0万,15786.0,10.0,3,2,2
SH90201,70平米,西,低层,简装修,无 ,平层,钢混,城关,附件无学校,86.0万,12286.0,21.0,2,2,1
SH90204,109平米,西北,高层,精装修,有 ,平层,塔楼,城关,附件有学校,140.0万,12844.0,14.0,2,2,1
SH97669,172.87平米,南北,低层,毛坯,有 ,平层,板楼,城关,附件有学校,269.8万,15607.0,7.0,3,2,2
SH90209,100平米,南,低层,精装修,有 ,平层,板楼,城关,附件有学校,136.0万,13600.0,18.0,2,2,1
SH90211,53平米,东南,中层,中装修,无 ,平层,钢混,城关,附件有学校,59.0万,11132.0,20.0,2,1,1
SH90213,70平米,南,高层,中装修,无 ,平层,砖楼,城关,附件无学校,80.0万,11429.0,18.0,2,1,1
SH90216,105.63平米,南北,中层,简装修,无 ,平层,板楼,城关,附件无学校,141.93万,13437.0,15.0,2,2,1
SH90222,143.43平米,南北,中层,精装修,有 ,平层,钢混,七里河,附件有学校,236.5万,16489.0,11.0,3,2,2
SH97381,125.76平米,南北,中层,简装修,有 ,平层,板楼,七里河,附件有学校,182.0万,14472.0,14.0,3,2,2
